"","FL_DATE","max_delay"
"1","2019-01-01",182
"2","2019-01-02",223
"3","2019-01-03",176
"4","2019-01-04",672
"5","2019-01-05",345
"6","2019-01-06",199
"7","2019-01-07",1263
"8","2019-01-08",112
"9","2019-01-09",230
"10","2019-01-10",143
"11","2019-01-11",265
"12","2019-01-12",732
"13","2019-01-13",332
"14","2019-01-14",80
"15","2019-01-15",347
"16","2019-01-16",202
"17","2019-01-17",144
"18","2019-01-18",1012
"19","2019-01-19",1566
"20","2019-01-20",216
"21","2019-01-21",1149
"22","2019-01-22",316
"23","2019-01-23",731
"24","2019-01-24",271
"25","2019-01-25",223
"26","2019-01-26",442
"27","2019-01-27",200
"28","2019-01-28",323
"29","2019-01-29",160
"30","2019-01-30",703
"31","2019-01-31",266
"32","2019-02-01",651
"33","2019-02-02",627
"34","2019-02-03",95
"35","2019-02-04",190
"36","2019-02-05",168
"37","2019-02-06",84
"38","2019-02-07",429
"39","2019-02-08",172
"40","2019-02-09",209
"41","2019-02-10",1017
"42","2019-02-11",289
"43","2019-02-12",734
"44","2019-02-13",652
"45","2019-02-14",1594
"46","2019-02-15",429
"47","2019-02-16",187
"48","2019-02-17",457
"49","2019-02-18",757
"50","2019-02-19",299
"51","2019-02-20",1013
"52","2019-02-21",170
"53","2019-02-22",455
"54","2019-02-23",149
"55","2019-02-24",459
"56","2019-02-25",627
"57","2019-02-26",403
"58","2019-02-27",371
"59","2019-02-28",274
"60","2019-03-01",328
"61","2019-03-02",362
"62","2019-03-03",637
"63","2019-03-04",238
"64","2019-03-05",165
"65","2019-03-06",163
"66","2019-03-07",350
"67","2019-03-08",430
"68","2019-03-09",1256
"69","2019-03-10",479
"70","2019-03-11",554
"71","2019-03-12",365
"72","2019-03-13",520
"73","2019-03-14",524
"74","2019-03-15",521
"75","2019-03-16",975
"76","2019-03-17",601
"77","2019-03-18",279
"78","2019-03-19",793
"79","2019-03-20",128
"80","2019-03-21",172
"81","2019-03-22",253
"82","2019-03-23",111
"83","2019-03-24",300
"84","2019-03-25",382
"85","2019-03-26",201
"86","2019-03-27",418
"87","2019-03-28",129
"88","2019-03-29",309
"89","2019-03-30",232
"90","2019-03-31",332
"91","2019-04-01",314
"92","2019-04-02",269
"93","2019-04-03",240
"94","2019-04-04",218
"95","2019-04-05",131
"96","2019-04-06",712
"97","2019-04-07",154
"98","2019-04-08",466
"99","2019-04-09",1106
"100","2019-04-10",271
"101","2019-04-11",284
"102","2019-04-12",758
"103","2019-04-13",440
"104","2019-04-14",1156
"105","2019-04-15",298
"106","2019-04-16",191
"107","2019-04-17",356
"108","2019-04-18",270
"109","2019-04-19",890
"110","2019-04-20",405
"111","2019-04-21",163
"112","2019-04-22",305
"113","2019-04-23",300
"114","2019-04-24",230
"115","2019-04-25",229
"116","2019-04-26",398
"117","2019-04-27",140
"118","2019-04-28",171
"119","2019-04-29",231
"120","2019-04-30",285
"121","2019-05-01",271
"122","2019-05-02",274
"123","2019-05-03",221
"124","2019-05-04",232
"125","2019-05-05",1556
"126","2019-05-06",190
"127","2019-05-07",272
"128","2019-05-08",495
"129","2019-05-09",533
"130","2019-05-10",309
"131","2019-05-11",313
"132","2019-05-12",798
"133","2019-05-13",511
"134","2019-05-14",268
"135","2019-05-15",314
"136","2019-05-16",307
"137","2019-05-17",185
"138","2019-05-18",492
"139","2019-05-19",255
"140","2019-05-20",241
"141","2019-05-21",307
"142","2019-05-22",185
"143","2019-05-23",418
"144","2019-05-24",178
"145","2019-05-25",389
"146","2019-05-26",290
"147","2019-05-27",416
"148","2019-05-28",368
"149","2019-05-29",487
"150","2019-05-30",299
"151","2019-05-31",296
"152","2019-06-01",351
"153","2019-06-02",285
"154","2019-06-03",1443
"155","2019-06-04",681
"156","2019-06-05",274
"157","2019-06-06",220
"158","2019-06-07",434
"159","2019-06-08",792
"160","2019-06-09",392
"161","2019-06-10",684
"162","2019-06-11",211
"163","2019-06-12",1130
"164","2019-06-13",495
"165","2019-06-14",994
"166","2019-06-15",569
"167","2019-06-16",967
"168","2019-06-17",492
"169","2019-06-18",572
"170","2019-06-19",318
"171","2019-06-20",868
"172","2019-06-21",1111
"173","2019-06-22",235
"174","2019-06-23",388
"175","2019-06-24",334
"176","2019-06-25",236
"177","2019-06-26",243
"178","2019-06-27",352
"179","2019-06-28",537
"180","2019-06-29",1178
"181","2019-06-30",252
"182","2019-07-01",473
"183","2019-07-02",415
"184","2019-07-03",618
"185","2019-07-04",234
"186","2019-07-05",266
"187","2019-07-06",1025
"188","2019-07-07",579
"189","2019-07-08",314
"190","2019-07-09",259
"191","2019-07-10",374
"192","2019-07-11",998
"193","2019-07-12",258
"194","2019-07-13",919
"195","2019-07-14",158
"196","2019-07-15",422
"197","2019-07-16",328
"198","2019-07-17",1286
"199","2019-07-18",593
"200","2019-07-19",329
"201","2019-07-20",550
"202","2019-07-21",686
"203","2019-07-22",368
"204","2019-07-23",282
"205","2019-07-24",327
"206","2019-07-25",397
"207","2019-07-26",677
"208","2019-07-27",688
"209","2019-07-28",472
"210","2019-07-29",381
"211","2019-07-30",230
"212","2019-07-31",800
"213","2019-08-01",900
"214","2019-08-02",375
"215","2019-08-03",410
"216","2019-08-04",602
"217","2019-08-05",305
"218","2019-08-06",308
"219","2019-08-07",295
"220","2019-08-08",435
"221","2019-08-09",828
"222","2019-08-10",344
"223","2019-08-11",118
"224","2019-08-12",331
"225","2019-08-13",793
"226","2019-08-14",735
"227","2019-08-15",1580
"228","2019-08-16",325
"229","2019-08-17",428
"230","2019-08-18",621
"231","2019-08-19",234
"232","2019-08-20",370
"233","2019-08-21",221
"234","2019-08-22",441
"235","2019-08-23",214
"236","2019-08-24",144
"237","2019-08-25",197
"238","2019-08-26",213
"239","2019-08-27",308
"240","2019-08-28",167
"241","2019-08-29",361
"242","2019-08-30",852
"243","2019-08-31",1202
"244","2019-09-01",353
"245","2019-09-02",911
"246","2019-09-03",507
"247","2019-09-04",390
"248","2019-09-05",127
"249","2019-09-06",868
"250","2019-09-07",123
"251","2019-09-08",322
"252","2019-09-09",641
"253","2019-09-10",209
"254","2019-09-11",396
"255","2019-09-12",383
"256","2019-09-13",209
"257","2019-09-14",202
"258","2019-09-15",579
"259","2019-09-16",222
"260","2019-09-17",280
"261","2019-09-18",272
"262","2019-09-19",386
"263","2019-09-20",221
"264","2019-09-21",841
"265","2019-09-22",385
"266","2019-09-23",980
"267","2019-09-24",137
"268","2019-09-25",151
"269","2019-09-26",465
"270","2019-09-27",1169
"271","2019-09-28",437
"272","2019-09-29",396
"273","2019-09-30",371
"274","2019-10-01",217
"275","2019-10-02",242
"276","2019-10-03",642
"277","2019-10-04",212
"278","2019-10-05",215
"279","2019-10-06",156
"280","2019-10-07",209
"281","2019-10-08",254
"282","2019-10-09",581
"283","2019-10-10",291
"284","2019-10-11",669
"285","2019-10-12",256
"286","2019-10-13",315
"287","2019-10-14",228
"288","2019-10-15",215
"289","2019-10-16",155
"290","2019-10-17",484
"291","2019-10-18",1964
"292","2019-10-19",179
"293","2019-10-20",928
"294","2019-10-21",677
"295","2019-10-22",187
"296","2019-10-23",105
"297","2019-10-24",996
"298","2019-10-25",242
"299","2019-10-26",1044
"300","2019-10-27",317
"301","2019-10-28",219
"302","2019-10-29",376
"303","2019-10-30",179
"304","2019-10-31",1081
"305","2019-11-01",240
"306","2019-11-02",178
"307","2019-11-03",804
"308","2019-11-04",163
"309","2019-11-05",165
"310","2019-11-06",947
"311","2019-11-07",269
"312","2019-11-08",881
"313","2019-11-09",1150
"314","2019-11-10",217
"315","2019-11-11",446
"316","2019-11-12",622
"317","2019-11-13",173
"318","2019-11-14",204
"319","2019-11-15",374
"320","2019-11-16",137
"321","2019-11-17",635
"322","2019-11-18",1784
"323","2019-11-19",144
"324","2019-11-20",245
"325","2019-11-21",1102
"326","2019-11-22",211
"327","2019-11-23",148
"328","2019-11-24",825
"329","2019-11-25",867
"330","2019-11-26",186
"331","2019-11-27",771
"332","2019-11-28",97
"333","2019-11-29",421
"334","2019-11-30",1106
"335","2019-12-01",707
"336","2019-12-02",873
"337","2019-12-03",1621
"338","2019-12-04",127
"339","2019-12-05",232
"340","2019-12-06",829
"341","2019-12-07",395
"342","2019-12-08",432
"343","2019-12-09",522
"344","2019-12-10",136
"345","2019-12-11",233
"346","2019-12-12",693
"347","2019-12-13",1048
"348","2019-12-14",108
"349","2019-12-15",222
"350","2019-12-16",859
"351","2019-12-17",259
"352","2019-12-18",611
"353","2019-12-19",202
"354","2019-12-20",1035
"355","2019-12-21",1193
"356","2019-12-22",129
"357","2019-12-23",583
"358","2019-12-24",107
"359","2019-12-25",275
"360","2019-12-26",242
"361","2019-12-27",586
"362","2019-12-28",215
"363","2019-12-29",133
"364","2019-12-30",239
"365","2019-12-31",658
"366","2020-01-01",360
"367","2020-01-02",290
"368","2020-01-03",289
"369","2020-01-04",587
"370","2020-01-05",176
"371","2020-01-06",337
"372","2020-01-07",64
"373","2020-01-08",89
"374","2020-01-09",724
"375","2020-01-10",909
"376","2020-01-11",222
"377","2020-01-12",173
"378","2020-01-13",505
"379","2020-01-14",308
"380","2020-01-15",173
"381","2020-01-16",488
"382","2020-01-17",1025
"383","2020-01-18",751
"384","2020-01-19",909
"385","2020-01-20",442
"386","2020-01-21",202
"387","2020-01-22",468
"388","2020-01-23",362
"389","2020-01-24",243
"390","2020-01-25",720
"391","2020-01-26",231
"392","2020-01-27",279
"393","2020-01-28",1237
"394","2020-01-29",761
"395","2020-01-30",715
"396","2020-01-31",457
"397","2020-02-01",145
"398","2020-02-02",160
"399","2020-02-03",379
"400","2020-02-04",197
"401","2020-02-05",208
"402","2020-02-06",517
"403","2020-02-07",470
"404","2020-02-08",415
"405","2020-02-09",380
"406","2020-02-10",282
"407","2020-02-11",119
"408","2020-02-12",1488
"409","2020-02-13",377
"410","2020-02-14",285
"411","2020-02-15",432
"412","2020-02-16",1205
"413","2020-02-17",133
"414","2020-02-18",412
"415","2020-02-19",123
"416","2020-02-20",937
"417","2020-02-21",135
"418","2020-02-22",217
"419","2020-02-23",147
"420","2020-02-24",263
"421","2020-02-25",236
"422","2020-02-26",1130
"423","2020-02-27",178
"424","2020-02-28",558
"425","2020-02-29",177
"426","2020-03-01",222
"427","2020-03-02",181
"428","2020-03-03",127
"429","2020-03-04",1202
"430","2020-03-05",133
"431","2020-03-06",132
"432","2020-03-07",144
"433","2020-03-08",187
"434","2020-03-09",330
"435","2020-03-10",254
"436","2020-03-11",157
"437","2020-03-12",369
"438","2020-03-13",279
"439","2020-03-14",1194
"440","2020-03-15",731
"441","2020-03-16",702
"442","2020-03-17",157
"443","2020-03-18",179
"444","2020-03-19",316
"445","2020-03-20",1632
"446","2020-03-21",141
"447","2020-03-22",212
"448","2020-03-23",741
"449","2020-03-24",482
"450","2020-03-25",136
"451","2020-03-26",175
"452","2020-03-27",39
"453","2020-03-28",152
"454","2020-03-29",104
"455","2020-03-30",20
"456","2020-03-31",204
"457","2020-04-01",363
"458","2020-04-02",208
"459","2020-04-03",256
"460","2020-04-04",86
"461","2020-04-05",314
"462","2020-04-06",22
"463","2020-04-07",30
"464","2020-04-08",133
"465","2020-04-09",132
"466","2020-04-10",120
"467","2020-04-11",138
"468","2020-04-12",59
"469","2020-04-13",73
"470","2020-04-14",63
"471","2020-04-15",182
"472","2020-04-16",297
"473","2020-04-17",58
"474","2020-04-18",197
"475","2020-04-19",188
"476","2020-04-20",213
"477","2020-04-21",571
"478","2020-04-22",54
"479","2020-04-23",58
"480","2020-04-24",148
"481","2020-04-25",67
"482","2020-04-26",258
"483","2020-04-27",203
"484","2020-04-28",115
"485","2020-04-29",52
"486","2020-04-30",64
"487","2020-05-01",87
"488","2020-05-02",60
"489","2020-05-03",128
"490","2020-05-04",121
"491","2020-05-05",611
"492","2020-05-06",94
"493","2020-05-07",45
"494","2020-05-08",186
"495","2020-05-09",23
"496","2020-05-10",44
"497","2020-05-11",81
"498","2020-05-12",64
"499","2020-05-13",38
"500","2020-05-14",108
"501","2020-05-15",130
"502","2020-05-16",126
"503","2020-05-17",113
"504","2020-05-18",125
"505","2020-05-19",132
"506","2020-05-20",90
"507","2020-05-21",90
"508","2020-05-22",43
"509","2020-05-23",173
"510","2020-05-24",81
"511","2020-05-25",131
"512","2020-05-26",85
"513","2020-05-27",89
"514","2020-05-28",122
"515","2020-05-29",61
"516","2020-05-30",13
"517","2020-05-31",88
"518","2020-06-01",39
"519","2020-06-02",13
"520","2020-06-03",81
"521","2020-06-04",167
"522","2020-06-05",87
"523","2020-06-06",719
"524","2020-06-07",186
"525","2020-06-08",78
"526","2020-06-09",127
"527","2020-06-10",191
"528","2020-06-11",86
"529","2020-06-12",526
"530","2020-06-13",92
"531","2020-06-14",66
"532","2020-06-15",50
"533","2020-06-16",102
"534","2020-06-17",73
"535","2020-06-18",97
"536","2020-06-19",124
"537","2020-06-20",847
"538","2020-06-21",155
"539","2020-06-22",222
"540","2020-06-23",186
"541","2020-06-24",47
"542","2020-06-25",92
"543","2020-06-26",95
"544","2020-06-27",52
"545","2020-06-28",249
"546","2020-06-29",230
"547","2020-06-30",90
"548","2020-07-01",135
"549","2020-07-02",109
"550","2020-07-03",117
"551","2020-07-04",246
"552","2020-07-05",162
"553","2020-07-06",295
"554","2020-07-07",168
"555","2020-07-08",185
"556","2020-07-09",296
"557","2020-07-10",325
"558","2020-07-11",43
"559","2020-07-12",167
"560","2020-07-13",311
"561","2020-07-14",181
"562","2020-07-15",168
"563","2020-07-16",166
"564","2020-07-17",177
"565","2020-07-18",449
"566","2020-07-19",185
"567","2020-07-20",155
"568","2020-07-21",371
"569","2020-07-22",159
"570","2020-07-23",224
"571","2020-07-24",81
"572","2020-07-25",208
"573","2020-07-26",154
"574","2020-07-27",771
"575","2020-07-28",311
"576","2020-07-29",195
"577","2020-07-30",69
"578","2020-07-31",121
"579","2020-08-01",116
"580","2020-08-02",100
"581","2020-08-03",290
"582","2020-08-04",100
"583","2020-08-05",86
"584","2020-08-06",117
"585","2020-08-07",206
"586","2020-08-08",75
"587","2020-08-09",149
"588","2020-08-10",830
"589","2020-08-11",121
"590","2020-08-12",125
"591","2020-08-13",1123
"592","2020-08-14",158
"593","2020-08-15",144
"594","2020-08-16",211
"595","2020-08-17",120
"596","2020-08-18",135
"597","2020-08-19",105
"598","2020-08-20",40
"599","2020-08-21",134
"600","2020-08-22",96
"601","2020-08-23",282
"602","2020-08-24",148
"603","2020-08-25",138
"604","2020-08-26",100
"605","2020-08-27",92
"606","2020-08-28",103
"607","2020-08-29",90
"608","2020-08-30",140
"609","2020-08-31",153
"610","2020-09-01",329
"611","2020-09-02",273
"612","2020-09-03",87
"613","2020-09-04",80
"614","2020-09-05",200
"615","2020-09-06",101
"616","2020-09-07",70
"617","2020-09-08",178
"618","2020-09-09",139
"619","2020-09-10",79
"620","2020-09-11",92
"621","2020-09-12",1249
"622","2020-09-13",42
"623","2020-09-14",145
"624","2020-09-15",230
"625","2020-09-16",64
"626","2020-09-17",78
"627","2020-09-18",171
"628","2020-09-19",173
"629","2020-09-20",49
"630","2020-09-21",42
"631","2020-09-22",58
"632","2020-09-23",24
"633","2020-09-24",413
"634","2020-09-25",113
"635","2020-09-26",82
"636","2020-09-27",171
"637","2020-09-28",131
"638","2020-09-29",248
"639","2020-09-30",70
"640","2020-10-01",335
"641","2020-10-02",72
"642","2020-10-03",159
"643","2020-10-04",292
"644","2020-10-05",82
"645","2020-10-06",100
"646","2020-10-07",142
"647","2020-10-08",69
"648","2020-10-09",210
"649","2020-10-10",242
"650","2020-10-11",313
"651","2020-10-12",103
"652","2020-10-13",96
"653","2020-10-14",101
"654","2020-10-15",487
"655","2020-10-16",76
"656","2020-10-17",52
"657","2020-10-18",207
"658","2020-10-19",106
"659","2020-10-20",501
"660","2020-10-21",211
"661","2020-10-22",272
"662","2020-10-23",313
"663","2020-10-24",106
"664","2020-10-25",139
"665","2020-10-26",937
"666","2020-10-27",441
"667","2020-10-28",110
"668","2020-10-29",515
"669","2020-10-30",195
"670","2020-10-31",121
"671","2020-11-01",122
"672","2020-11-02",119
"673","2020-11-03",145
"674","2020-11-04",480
"675","2020-11-05",470
"676","2020-11-06",74
"677","2020-11-07",296
"678","2020-11-08",602
"679","2020-11-09",664
"680","2020-11-10",68
"681","2020-11-11",217
"682","2020-11-12",84
"683","2020-11-13",742
"684","2020-11-14",145
"685","2020-11-15",197
"686","2020-11-16",220
"687","2020-11-17",71
"688","2020-11-18",155
"689","2020-11-19",1749
"690","2020-11-20",185
"691","2020-11-21",210
"692","2020-11-22",1084
"693","2020-11-23",105
"694","2020-11-24",267
"695","2020-11-25",75
"696","2020-11-26",161
"697","2020-11-27",172
"698","2020-11-28",227
"699","2020-11-29",619
"700","2020-11-30",108
"701","2020-12-01",87
"702","2020-12-02",50
"703","2020-12-03",129
"704","2020-12-04",2522
"705","2020-12-05",114
"706","2020-12-06",215
"707","2020-12-07",145
"708","2020-12-08",72
"709","2020-12-09",1513
"710","2020-12-10",87
"711","2020-12-11",96
"712","2020-12-12",143
"713","2020-12-13",139
"714","2020-12-14",193
"715","2020-12-15",84
"716","2020-12-16",898
"717","2020-12-17",1500
"718","2020-12-18",124
"719","2020-12-19",851
"720","2020-12-20",409
"721","2020-12-21",72
"722","2020-12-22",1293
"723","2020-12-23",1172
"724","2020-12-24",597
"725","2020-12-25",1401
"726","2020-12-26",200
"727","2020-12-27",281
"728","2020-12-28",735
"729","2020-12-29",138
"730","2020-12-30",556
"731","2020-12-31",291
"732","2021-01-01",120
"733","2021-01-02",480
"734","2021-01-03",110
"735","2021-01-04",1378
"736","2021-01-05",166
"737","2021-01-06",52
"738","2021-01-07",196
"739","2021-01-08",1302
"740","2021-01-09",137
"741","2021-01-10",221
"742","2021-01-11",100
"743","2021-01-12",191
"744","2021-01-13",154
"745","2021-01-14",183
"746","2021-01-15",1106
"747","2021-01-16",255
"748","2021-01-17",314
"749","2021-01-18",217
"750","2021-01-19",56
"751","2021-01-20",215
"752","2021-01-21",37
"753","2021-01-22",1366
"754","2021-01-23",707
"755","2021-01-24",113
"756","2021-01-25",156
"757","2021-01-26",109
"758","2021-01-27",83
"759","2021-01-28",912
"760","2021-01-29",241
"761","2021-01-30",523
"762","2021-01-31",320
"763","2021-02-01",1231
"764","2021-02-02",43
"765","2021-02-03",311
"766","2021-02-04",137
"767","2021-02-05",140
"768","2021-02-06",25
"769","2021-02-07",166
"770","2021-02-08",228
"771","2021-02-09",114
"772","2021-02-10",71
"773","2021-02-11",125
"774","2021-02-12",932
"775","2021-02-13",1531
"776","2021-02-14",270
"777","2021-02-15",224
"778","2021-02-16",148
"779","2021-02-17",1367
"780","2021-02-18",1104
"781","2021-02-19",306
"782","2021-02-20",2565
"783","2021-02-21",1323
"784","2021-02-22",909
"785","2021-02-23",92
"786","2021-02-24",166
"787","2021-02-25",240
"788","2021-02-26",96
"789","2021-02-27",193
"790","2021-02-28",164
"791","2021-03-01",132
"792","2021-03-02",56
"793","2021-03-03",84
"794","2021-03-04",281
"795","2021-03-05",139
"796","2021-03-06",2087
"797","2021-03-07",131
"798","2021-03-08",49
"799","2021-03-09",194
"800","2021-03-10",266
"801","2021-03-11",367
"802","2021-03-12",120
"803","2021-03-13",178
"804","2021-03-14",453
"805","2021-03-15",193
"806","2021-03-16",110
"807","2021-03-17",228
"808","2021-03-18",243
"809","2021-03-19",191
"810","2021-03-20",164
"811","2021-03-21",227
"812","2021-03-22",130
"813","2021-03-23",249
"814","2021-03-24",286
"815","2021-03-25",666
"816","2021-03-26",131
"817","2021-03-27",100
"818","2021-03-28",622
"819","2021-03-29",505
"820","2021-03-30",1303
"821","2021-03-31",1274
"822","2021-04-01",223
"823","2021-04-02",158
"824","2021-04-03",223
"825","2021-04-04",745
"826","2021-04-05",108
"827","2021-04-06",152
"828","2021-04-07",138
"829","2021-04-08",102
"830","2021-04-09",830
"831","2021-04-10",816
"832","2021-04-11",238
"833","2021-04-12",234
"834","2021-04-13",244
"835","2021-04-14",109
"836","2021-04-15",173
"837","2021-04-16",291
"838","2021-04-17",178
"839","2021-04-18",141
"840","2021-04-19",817
"841","2021-04-20",128
"842","2021-04-21",314
"843","2021-04-22",158
"844","2021-04-23",285
"845","2021-04-24",1070
"846","2021-04-25",288
"847","2021-04-26",132
"848","2021-04-27",69
"849","2021-04-28",237
"850","2021-04-29",1457
"851","2021-04-30",150
"852","2021-05-01",274
"853","2021-05-02",235
"854","2021-05-03",308
"855","2021-05-04",216
"856","2021-05-05",1217
"857","2021-05-06",996
"858","2021-05-07",618
"859","2021-05-08",157
"860","2021-05-09",121
"861","2021-05-10",1286
"862","2021-05-11",337
"863","2021-05-12",175
"864","2021-05-13",381
"865","2021-05-14",247
"866","2021-05-15",161
"867","2021-05-16",371
"868","2021-05-17",671
"869","2021-05-18",319
"870","2021-05-19",88
"871","2021-05-20",276
"872","2021-05-21",168
"873","2021-05-22",129
